Tempo,Usina,Potencia Ativa(kW),Potencia Ativa Prevista (Random Forest),PR,Status
2024-10-30 11:23:00,BET01 ,250.012,197.68090396234115,1.264725094780162,Normal
2024-10-30 11:28:00,BET01 ,162.107,151.15015583139214,1.0724897973696448,Normal
2024-10-30 11:33:00,BET01 ,249.968,247.42601274689608,1.010273726779505,Normal
2024-10-30 11:38:00,BET01 ,239.662,240.81130431383423,0.9952273656043306,Normal
2024-10-30 11:43:00,BET01 ,248.173,228.2139836559573,1.0874574643687558,Normal
2024-10-30 11:48:00,BET01 ,162.061,211.37998476066556,0.7666809143897572,Normal
2024-10-30 11:53:00,BET01 ,249.972,245.7120544886561,1.0173371449773156,Normal
2024-10-30 11:58:00,BET01 ,250.0,239.8316881773753,1.0423976994028596,Normal
2024-10-30 12:03:00,BET01 ,246.418,244.425194771382,1.0081530270661416,Normal
2024-10-30 12:08:00,BET01 ,249.983,242.5854202383658,1.0304947418289414,Normal
2024-10-30 12:13:00,BET01 ,243.334,235.1883077807568,1.034634766907021,Normal
2024-10-30 12:18:00,BET01 ,134.5,197.5416866568856,0.6808689460752451,Normal
2024-10-30 12:23:00,BET01 ,103.588,162.58339238844752,0.6371376465838864,Normal
2024-10-30 12:28:00,BET01 ,242.81,164.05502427601462,1.4800522024335199,Normal
2024-10-30 12:33:00,BET01 ,238.001,235.4058567484109,1.0110241235601996,Normal
2024-10-30 12:38:00,BET01 ,237.367,229.40310855468,1.0347157084988747,Normal
2024-10-30 12:43:00,BET01 ,230.064,225.0245559390566,1.0223950850160026,Normal
2024-10-30 12:48:00,BET01 ,231.146,224.27041461431745,1.0306575675507919,Normal
2024-10-30 12:53:00,BET01 ,228.998,227.2863610954428,1.0075307594186809,Normal
2024-10-30 12:58:00,BET01 ,228.968,227.6853330819951,1.0056335070012743,Normal
2024-10-30 13:08:00,BET01 ,228.416,224.61267940539864,1.016932795622534,Normal
2024-10-30 13:13:00,BET01 ,228.545,225.53103800166923,1.0133638457262297,Normal
2024-10-30 13:18:00,BET01 ,227.992,225.7882296624552,1.0097603419843424,Normal
2024-10-30 13:28:00,BET01 ,227.608,225.67056233166377,1.0085852476650845,Normal
2024-10-30 13:33:00,BET01 ,225.527,223.6001648376911,1.008617324426874,Normal
2024-10-30 13:43:00,BET01 ,222.395,222.46240866963151,0.9996969884933161,Normal
2024-10-30 13:48:00,BET01 ,221.069,220.47923059270343,1.0026749431486635,Normal
2024-10-30 13:53:00,BET01 ,221.136,219.16625951098305,1.0089874257717037,Normal
2024-10-30 13:58:00,BET01 ,219.154,218.68531423297264,1.00214319726348,Normal
2024-10-30 14:03:00,BET01 ,218.629,214.6138033966857,1.0187089392190338,Normal
2024-10-30 14:08:00,BET01 ,216.969,215.8068927265116,1.0053849404845523,Normal
2024-10-30 14:13:00,BET01 ,216.252,214.8978674808701,1.0063012841169792,Normal
2024-10-30 14:18:00,BET01 ,216.918,214.12589200054248,1.0130395627234583,Normal
2024-10-30 14:23:00,BET01 ,215.817,214.20221810455664,1.0075385862468293,Normal
2024-10-30 14:28:00,BET01 ,213.075,214.0363054726772,0.9955086803121822,Normal
2024-10-30 14:33:00,BET01 ,211.465,211.97368528608592,0.9976002432311379,Normal
2024-10-30 14:38:00,BET01 ,209.821,209.09949722253413,1.0034505237317621,Normal
2024-10-30 14:43:00,BET01 ,207.764,206.91684599884317,1.0040941760786435,Normal
2024-10-30 14:48:00,BET01 ,208.032,205.88784963989409,1.0104141665661968,Normal
2024-10-30 14:53:00,BET01 ,205.126,205.3921181423226,0.9987043410198526,Normal
2024-10-30 14:58:00,BET01 ,204.062,203.87573140094537,1.0009136379194066,Normal
2024-10-30 15:08:00,BET01 ,199.667,200.2199090492441,0.9972384911576994,Normal
2024-10-30 15:13:00,BET01 ,195.271,195.32780678993868,0.9997091720279244,Normal
2024-10-30 15:18:00,BET01 ,194.746,194.1429403149369,1.0031062663627368,Normal
2024-10-30 15:23:00,BET01 ,192.459,191.77407222271864,1.0035715348239875,Normal
2024-10-30 15:28:00,BET01 ,189.913,190.52255682506384,0.996800605475689,Normal
2024-10-30 15:33:00,BET01 ,183.105,182.9467001637662,1.0008652784449903,Normal
2024-10-30 15:43:00,BET01 ,175.597,176.65234527767183,0.9940258631946665,Normal
2024-10-30 15:48:00,BET01 ,171.975,174.85086432826174,0.9835524729070676,Normal
2024-10-30 15:53:00,BET01 ,164.798,165.94799402082262,0.9930701541310688,Normal
2024-10-30 16:03:00,BET01 ,155.687,158.19165933393472,0.9841669317808501,Normal
2024-10-31 07:08:00,BET01 ,55.478,124.02403810191008,0.4473165109687361,Normal
2024-10-31 07:13:00,BET01 ,155.501,175.0010052203978,0.8885720387957812,Normal
2024-10-31 07:18:00,BET01 ,192.105,189.28989202313636,1.0148719403174447,Normal
2024-10-31 07:23:00,BET01 ,198.867,196.5695237684641,1.0116878557137985,Normal
2024-10-31 07:28:00,BET01 ,211.238,200.71171838458832,1.0524447785118456,Normal
2024-10-31 07:33:00,BET01 ,55.05,120.73772524628416,0.45594697007673024,Normal
2024-10-31 07:38:00,BET01 ,68.168,89.64137990875149,0.7604523722123662,Normal
