Tempo,Usina,Potencia Ativa(kW),Potencia Ativa(kW) prevista,PR,Status
2024-09-30 13:48:00,BET01 ,224.243,224.0165488376984,1.001010868007192,Normal
2024-09-30 13:53:00,BET01 ,222.434,222.6721386892858,0.9989305411503767,Normal
2024-09-30 13:58:00,BET01 ,223.959,223.01765920818917,1.004220924904122,Normal
2024-09-30 14:03:00,BET01 ,223.206,222.50531645119025,1.0031490643009577,Normal
2024-09-30 14:08:00,BET01 ,221.507,221.0919274003965,1.0018773756440769,Normal
2024-09-30 14:13:00,BET01 ,219.999,218.1783460189394,1.008344796879625,Normal
2024-09-30 14:18:00,BET01 ,219.097,218.32787616666647,1.0035227926311454,Normal
2024-09-30 14:23:00,BET01 ,217.269,217.03163200198424,1.0010937023134656,Normal
2024-09-30 14:28:00,BET01 ,216.249,215.99125752824665,1.0011933004821718,Normal
2024-09-30 14:33:00,BET01 ,215.756,214.48925067182557,1.0059058872377367,Normal
2024-09-30 14:38:00,BET01 ,213.787,212.8334137647188,1.0044804348077383,Normal
2024-09-30 14:43:00,BET01 ,211.642,211.69405332261945,0.9997541106053643,Normal
2024-09-30 14:48:00,BET01 ,209.476,208.4034653595239,1.0051464338110974,Normal
2024-09-30 14:58:00,BET01 ,204.805,200.9908748912698,1.0189766083201217,Normal
2024-09-30 15:03:00,BET01 ,202.613,202.96526423849213,0.9982644112044798,Normal
2024-09-30 15:08:00,BET01 ,202.384,201.2689190452377,1.0055402541040708,Normal
2024-09-30 15:13:00,BET01 ,198.704,198.46347275555547,1.0012119471714616,Normal
2024-09-30 15:18:00,BET01 ,196.614,195.50987465119084,1.0056474147445444,Normal
2024-09-30 15:23:00,BET01 ,192.778,192.6870376857144,1.0004720728253345,Normal
2024-09-30 15:28:00,BET01 ,189.62,189.6606869416668,0.9997854750906849,Normal
2024-09-30 15:33:00,BET01 ,186.733,185.449514241506,1.0069209442998193,Normal
2024-09-30 15:38:00,BET01 ,179.435,179.50523622002177,0.9996087232801628,Normal
2024-09-30 15:43:00,BET01 ,177.01,174.92969785873015,1.0118922182267178,Normal
2024-09-30 15:48:00,BET01 ,171.824,171.06193320674606,1.0044549174615776,Normal
2024-09-30 15:53:00,BET01 ,168.383,166.63663454917048,1.0104800811391461,Normal
2024-09-30 15:58:00,BET01 ,162.788,159.80495105476166,1.018666811794937,Normal
2024-09-30 16:08:00,BET01 ,145.151,147.39796324271256,0.9847558053498161,Normal
2024-09-30 16:13:00,BET01 ,129.398,128.75254369206343,1.0050131538331413,Normal
2024-09-30 16:18:00,BET01 ,111.835,111.49922844823236,1.0030114248900255,Normal
2024-09-30 16:23:00,BET01 ,96.803,94.88575435674596,1.0202058323322771,Normal
2024-09-30 16:28:00,BET01 ,83.131,83.35536070873007,0.997308382966345,Normal
2024-09-30 16:33:00,BET01 ,69.538,69.33899908809529,1.0028699709329791,Normal
