Tempo,Potencia Ativa(kW),Potencia Ativa(kW) prevista,PR,Status
2024-08-23 13:48:00,222.48,214.12330310806118,1.0390274985050154,Normal
2024-08-23 13:53:00,219.52,212.93039888538505,1.0309472069235261,Normal
2024-08-23 13:58:00,212.83,206.39756882835533,1.0311652468009158,Normal
2024-08-23 14:03:00,211.67,205.89527617583443,1.0280468980708133,Normal
2024-08-23 14:05:00,210.75,201.9346124385018,1.0436546635321515,Normal
2024-08-23 14:09:00,208.15,165.8006916343126,1.2554229897851834,Normal
2024-08-23 14:14:00,130.03,181.27044688506825,0.7173259747213153,Normal
2024-08-23 14:19:00,201.68,171.04369021878617,1.1791139430050075,Normal
2024-08-23 14:24:00,198.17,173.80640264936727,1.140176638945708,Normal
2024-08-23 14:29:00,197.79,186.23437569559078,1.0620488256330154,Normal
2024-08-23 14:34:00,195.18,186.32094080783568,1.0475473081756346,Normal
2024-08-23 14:39:00,194.67,187.96541097841106,1.035669270142255,Normal
2024-08-23 14:44:00,191.86,186.00851377561176,1.0314581634228157,Normal
2024-08-23 14:54:00,185.02,184.39477079222084,1.0033907100786696,Normal
2024-08-23 14:59:00,182.67,176.99855699849377,1.032042312082547,Normal
2024-08-23 15:04:00,181.16,174.92008242401897,1.0356729627010752,Normal
2024-08-23 15:09:00,177.7,169.73154141520317,1.0469474236689107,Normal
2024-08-23 15:14:00,173.31,166.2161765908722,1.0426782973512179,Normal
2024-08-23 15:19:00,169.99,163.11910487798272,1.0421219520984797,Normal
2024-08-23 15:24:00,166.62,159.0199436059379,1.04779310205829,Normal
2024-08-23 15:29:00,161.48,155.79257371901838,1.0365064017187318,Normal
2024-08-23 15:34:00,156.89,152.71069186705813,1.027367488692803,Normal
2024-08-23 15:39:00,150.01,146.08825846725526,1.026845015293435,Normal
2024-08-23 15:44:00,149.14,137.62314259771372,1.0836840169821669,Normal
2024-08-23 15:49:00,143.98,133.6977868601792,1.0769063825310279,Normal
2024-08-23 15:54:00,140.39,131.9391207724672,1.0640513532154467,Normal
2024-08-23 15:59:00,134.45,129.39904041189493,1.0390339802523045,Normal
2024-08-23 16:04:00,130.51,122.17895443378961,1.0681872389956086,Normal
2024-08-23 16:09:00,122.14,114.36314241169383,1.0680014331917393,Normal
2024-08-23 16:14:00,115.1,107.45048550140245,1.071191065009173,Normal
2024-08-23 16:19:00,104.1,98.81385009501386,1.0534960423048314,Normal
2024-08-23 16:24:00,91.28,88.09771405216358,1.036122230662559,Normal
2024-08-23 16:29:00,77.3,76.05207778149654,1.0164087853337662,Normal
2024-08-23 16:34:00,65.42,64.40762136710892,1.0157183049366278,Normal
2024-08-23 16:39:00,54.45,53.40495308227242,1.0195683519488847,Normal
2024-08-23 16:44:00,44.94,43.159922019290484,1.041243771939947,Normal
2024-08-23 16:49:00,36.0,34.311382481217926,1.049214499582068,Normal
2024-08-23 16:54:00,27.53,26.85620497501221,1.0250889887686927,Normal
2024-08-23 16:59:00,21.55,20.87111032175796,1.0325277221851634,Normal
2024-08-23 17:04:00,16.33,15.625909635404547,1.0450591601400376,Normal
2024-08-23 17:09:00,12.41,11.90241247280701,1.0426457685240413,Normal
2024-08-23 17:14:00,9.09,8.689770151279088,1.0460575874566718,Normal
2024-08-23 17:19:00,6.75,6.616994071151361,1.0201006570987445,Normal
2024-08-23 17:24:00,4.67,4.443336520272764,1.0510119993597338,Normal
2024-08-23 17:29:00,3.01,3.0542779626517156,0.9855029688871952,Normal
2024-08-23 17:34:00,1.65,1.5502972449436534,1.0643120249239495,Normal
2024-08-23 17:39:00,0.48,0.43528556741766145,1.102724362876554,Normal
2024-08-23 17:44:00,0.0,53.60068849089141,0.0,Perda Total
2024-08-26 10:06:00,231.53,147.48089807801605,1.5698982242264536,Normal
2024-08-26 10:16:00,232.4,212.3618876913202,1.094358326376371,Normal
2024-08-26 10:21:00,231.77,231.23432403036483,1.0023165936626468,Normal
2024-08-26 10:26:00,231.04,230.73571015559546,1.0013187808865796,Normal
2024-08-26 10:31:00,231.83,230.7563271249359,1.0046528426259913,Normal
2024-08-26 10:36:00,232.2,231.09996194832192,1.0047600096616376,Normal
2024-08-26 10:41:00,230.38,229.15084292963599,1.005363964865455,Normal
2024-08-26 10:46:00,231.94,229.17616288940658,1.0120598803808718,Normal
