Tempo,velocidade do vento,humidade,irradiancia inclinada,temperatura ambiente,Usina,Potencia Ativa(kW),lag_1,lag_2,Potencia Ativa Prevista (Random Forest),Potencia Ativa Prevista (kNN)
2024-10-12 17:33:00,4.852368541666666,60.949866666666665,0.6964000000000001,28.00016,BET01 ,0.047,0.524,2.026,0.06163407804231377,0.0942272727272727
2024-10-13 06:23:00,2.2687785937500005,81.50013333333334,411.8416,25.200000000000003,BET01 ,33.789,0.047,0.524,46.00652701909688,64.91581818181818
2024-10-13 06:28:00,2.483058177083333,80.10066666666668,471.7245,25.4,BET01 ,100.102,33.789,0.047,106.42271983012644,89.5955909090909
2024-10-13 06:33:00,3.1665693750000004,79.04986666666667,535.8745000000001,25.700000000000003,BET01 ,111.486,100.102,33.789,111.05988721037615,85.8000909090909
2024-10-13 06:38:00,3.1066878125,77.80066666666667,584.8166,25.99984,BET01 ,124.392,111.486,100.102,132.59700178395198,132.5613181818182
2024-10-13 06:43:00,2.674711510416667,76.60000000000001,637.9439000000001,26.3,BET01 ,145.598,124.392,111.486,147.44406215493981,137.99804545454546
2024-10-13 06:48:00,2.8761718750000003,74.9,665.8623,26.649840000000005,BET01 ,177.245,145.598,124.392,165.97938106143314,147.07486363636366
2024-10-13 06:53:00,4.395307708333334,73.20026666666666,689.4187000000001,26.99984,BET01 ,186.959,177.245,145.598,172.90089780406115,155.15595454545453
2024-10-13 06:58:00,3.849499635416667,71.99986666666666,710.681,27.1,BET01 ,195.296,186.959,177.245,181.66579060089114,172.35013636363635
2024-10-13 07:03:00,3.5691044270833334,71.89973333333333,723.5742,27.249840000000003,BET01 ,200.431,195.296,186.959,188.90865112578854,187.82131818181816
2024-10-13 07:08:00,3.24587625,70.70013333333334,755.5313,27.5,BET01 ,207.523,200.431,195.296,190.70955188881248,196.668
2024-10-13 07:13:00,3.93388703125,68.95053333333334,772.1738,27.899840000000005,BET01 ,213.187,207.523,200.431,197.5301739703208,196.08804545454544
2024-10-13 07:18:00,5.072239010416667,68.0004,806.8969000000001,28.0,BET01 ,222.252,213.187,207.523,207.61867490470905,210.94595454545453
